# wavelength(um) transit_depth error
4.92704161e+01 3.11111333e-04 1.00000000e-05
4.92671316e+01 3.36018703e-04 1.00000000e-05
4.92638473e+01 3.10149886e-04 1.00000000e-05
4.92605633e+01 3.20953240e-04 1.00000000e-05
4.92572795e+01 3.37918085e-04 1.00000000e-05
4.92539959e+01 3.24765780e-04 1.00000000e-05
4.92507125e+01 3.15874888e-04 1.00000000e-05
4.92474293e+01 3.17191020e-04 1.00000000e-05
4.92441464e+01 3.29783576e-04 1.00000000e-05
4.92408637e+01 3.18268015e-04 1.00000000e-05
4.92375812e+01 3.25978792e-04 1.00000000e-05
4.92342989e+01 3.29178008e-04 1.00000000e-05
4.92310168e+01 3.31391030e-04 1.00000000e-05
4.92277350e+01 3.45832173e-04 1.00000000e-05
4.92244533e+01 3.31090441e-04 1.00000000e-05
4.92211719e+01 3.00925268e-04 1.00000000e-05
4.92178907e+01 3.23869773e-04 1.00000000e-05
4.92146097e+01 3.17790774e-04 1.00000000e-05
4.92113290e+01 3.29592775e-04 1.00000000e-05
4.92080485e+01 3.13696125e-04 1.00000000e-05
4.92047681e+01 3.23246508e-04 1.00000000e-05
4.92014880e+01 3.25946567e-04 1.00000000e-05
4.91982082e+01 3.30509395e-04 1.00000000e-05
4.91949285e+01 3.09128513e-04 1.00000000e-05
4.91916491e+01 3.17332062e-04 1.00000000e-05
4.91883698e+01 3.15368845e-04 1.00000000e-05
4.91850908e+01 3.22406651e-04 1.00000000e-05
4.91818120e+01 3.37137259e-04 1.00000000e-05
4.91785335e+01 3.23440299e-04 1.00000000e-05
4.91752551e+01 3.17621198e-04 1.00000000e-05
4.91719770e+01 3.30359186e-04 1.00000000e-05
4.91686991e+01 3.58003078e-04 1.00000000e-05
4.91654214e+01 3.32132294e-04 1.00000000e-05
4.91621439e+01 3.08634380e-04 1.00000000e-05
4.91588666e+01 3.24630720e-04 1.00000000e-05
4.91555896e+01 3.37276028e-04 1.00000000e-05
4.91523128e+01 3.14860789e-04 1.00000000e-05
4.91490362e+01 3.23804568e-04 1.00000000e-05
4.91457598e+01 3.37121006e-04 1.00000000e-05
4.91424836e+01 3.16561118e-04 1.00000000e-05
4.91392077e+01 3.30621744e-04 1.00000000e-05
4.91359320e+01 2.97580232e-04 1.00000000e-05
4.91326564e+01 3.11269063e-04 1.00000000e-05
4.91293811e+01 3.18137460e-04 1.00000000e-05
4.91261061e+01 3.10695416e-04 1.00000000e-05
4.91228312e+01 3.59549556e-04 1.00000000e-05
4.91195566e+01 3.10118194e-04 1.00000000e-05
4.91162822e+01 3.22104355e-04 1.00000000e-05
4.91130080e+01 3.21085492e-04 1.00000000e-05
4.91097340e+01 3.46032659e-04 1.00000000e-05
